email_id,email_type,campaign_id,word_count,total_links,total_images,email_status,customer_id
EMA00081000034500,soft,13,440,8,0,0,38121
EMA00081000045360,aggressive,16,504,5,0,0,15603
EMA00081000066290,aggressive,2,962,5,0,1,16140
EMA00081000076560,soft,2,610,16,0,0,32350
EMA00081000109720,soft,15,947,4,0,0,24843
EMA00081000131660,soft,17,416,11,0,0,22566
EMA00081000160500,soft,10,116,4,0,0,17235
EMA00081000269630,soft,5,1241,6,2,0,20847
EMA00081000287790,soft,14,655,11,4,0,35379
EMA00081000367310,aggressive,17,655,11,0,0,35889
EMA00081000428660,aggressive,8,744,6,0,0,12642
EMA00081000583620,soft,1,931,21,16,0,28981
EMA00081000591290,aggressive,15,550,6,0,0,39460
EMA00081000667000,aggressive,21,565,0,0,0,17773
EMA00081000781390,soft,5,700,0,13,0,19408
EMA00081000916030,aggressive,5,694,4,0,0,12167
EMA00081001086910,soft,7,610,21,4,0,29908
EMA00081001137220,soft,17,1061,21,15,0,20978
EMA00081001215220,aggressive,9,623,16,0,0,35428
EMA00081001358710,soft,2,560,6,0,0,32884
EMA00081001535890,soft,5,1082,16,4,0,11126
EMA00081001689450,soft,18,684,6,0,0,38250
EMA00081001736520,soft,7,733,6,5,1,15502
EMA00081001769720,soft,14,1122,4,0,0,33741
EMA00081001994960,soft,6,649,31,28,0,16432
EMA00081002046220,aggressive,9,778,3,0,0,12850
EMA00081002124310,soft,8,855,21,4,0,34595
EMA00081002245070,aggressive,21,704,11,0,0,32978
EMA00081002264510,soft,17,339,11,10,1,13769
EMA00081002403600,soft,8,988,9,0,0,24789
EMA00081002406910,soft,8,389,6,3,1,25778
EMA00081002494510,aggressive,13,389,4,0,1,15391
EMA00081002583980,soft,11,636,16,8,0,19442
EMA00081002630210,soft,9,812,26,8,0,15999
EMA00081002775340,soft,4,880,10,3,0,16948
EMA00081002862960,soft,2,254,4,0,1,35582
EMA00081003023700,soft,17,339,6,2,1,36603
EMA00081003119020,soft,20,490,9,0,1,31217
EMA00081003209570,aggressive,2,771,6,0,0,20243
EMA00081003405650,aggressive,4,353,6,2,0,22291
EMA00081003450600,soft,8,484,7,0,0,30124
EMA00081003475530,soft,2,962,4,0,0,37501
EMA00081003563790,soft,7,778,6,0,0,10278
EMA00081003632910,aggressive,12,922,4,1,0,11972
EMA00081003662300,aggressive,13,700,0,0,0,38194
EMA00081003697090,aggressive,9,275,5,0,0,26321
EMA00081003697170,soft,22,392,16,13,0,23289
EMA00081003913640,soft,5,520,2,0,0,31855
EMA00081004020940,aggressive,9,550,6,3,1,21201
EMA00081004047050,aggressive,18,1061,6,0,0,11286
EMA00081004084890,soft,6,458,7,0,0,17262
EMA00081004218740,soft,10,630,6,0,0,10499
EMA00081004253350,soft,18,684,26,24,0,17872
EMA00081004255070,aggressive,8,1140,8,0,0,25512
EMA00081004305210,soft,10,892,11,0,0,31605
EMA00081004359690,soft,5,578,14,4,1,32811
EMA00081004362450,soft,14,311,4,0,0,36911
EMA00081004536060,soft,14,352,8,1,0,20857
EMA00081004708480,soft,2,902,21,12,0,27225
EMA00081004739620,soft,7,922,4,2,0,14644
EMA00081004767610,soft,4,795,21,11,0,35389
EMA00081004810710,aggressive,11,577,11,0,0,35026
EMA00081004897530,soft,8,653,26,24,0,29579
EMA00081005004610,aggressive,18,524,2,0,0,39107
EMA00081005301170,soft,11,904,9,0,0,22093
EMA00081005302140,aggressive,2,524,6,0,0,15380
EMA00081005351560,soft,7,440,4,0,0,10030
EMA00081005353560,soft,13,560,21,4,0,24173
EMA00081005754040,aggressive,12,1014,11,4,1,28424
EMA00081006001860,aggressive,10,565,9,6,1,10382
EMA00081006154590,soft,8,314,11,6,1,15974
EMA00081006208910,soft,11,1103,9,1,0,11537
EMA00081006210770,aggressive,13,721,3,0,0,12022
EMA00081006256590,soft,8,220,11,4,1,36229
EMA00081006357200,soft,3,352,6,0,0,29772
EMA00081006435540,soft,4,1014,9,0,0,34319
EMA00081006577090,soft,22,673,9,0,0,14466
EMA00081006613420,soft,1,655,6,0,1,38781
EMA00081006666700,soft,1,873,4,3,0,33672
EMA00081006688450,soft,15,490,3,0,0,35310
EMA00081006823600,aggressive,16,763,11,0,0,14653
EMA00081006880870,soft,16,542,11,4,0,33957
EMA00081006933010,soft,16,623,8,0,0,29388
EMA00081006986770,soft,9,760,6,0,0,39090
EMA00081007015970,aggressive,3,988,8,0,2,10891
EMA00081007297330,soft,12,220,8,0,0,17477
EMA00081007343190,soft,1,741,8,0,1,14466
EMA00081007406120,aggressive,17,518,6,0,1,12980
